"Smart Reports","Smart Reports"
"Aitoc Smart Reports","Aitoc Smart Reports"
"Save and Generate Report","Save and Generate Report"
"Smart Reports Processor","Smart Reports Processor"
"Manage Smart Reports","Manage Smart Reports"
"Smart Reports","Smart Reports"
"All Statuses","All Statuses"
"NA","NA"
"Exported Orders","Exported Orders"
"No","No"
"Yes","Yes"
"File Name","File Name"
"FTP-Uploaded","FTP-Uploaded"
"Emailed","Emailed"
"Cron","Cron"
"Store","Store"
"Exported At","Exported At"
"Export Orders","Export Orders"
"Configuration","Configuration"
"Order Fields","Order Fields"
"History","History"
"Check Data","Check Data"
"Store Views/Websites","Store Views/Websites"
"Default (Admin) Values","Default (Admin) Values"
"Create customers based on Billing/Shipping Address","Create customers based on Billing/Shipping Address"
"Based On Billing Address","Based On Billing Address"
"Append Complex Data","Append Complex Data"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Delete Entities","Delete Entities"
"Upload a file","Upload a file"
"Data Format","Data Format"
"Type","Type"
"XML","XML"
"CSV/Tab Separated","CSV/Tab Separated"
"Value Delimeter","Value Delimeter"
"Enclose Value In","Enclose Value In"
"\t for tab","\t for tab"
"Warning! Empty value can cause problems with CSV format","Warning! Empty value can cause problems with CSV format"
"Created at","Created at"
"Status","Status"
"Number of Errors","Number of Errors"
"Log Files","Log Files"
"Validate","Validate"
"Order #","Order #"
"Error Text","Error Text"
"File %s no found","File %s no found"
"Xsl file was not loaded: ","Xsl file was not loaded: "
"Configuration has been saved","Configuration has been saved"
"Orders have been exported","Orders have been exported"
"Smart Reports Export","Smart Reports Export"
"CSV File Does not exist","CSV File Does not exist"
"CSV File Does not contain required fields: ""%s""","CSV File Does not contain required fields: ""%s"""
"Xsl modification was not done: ","Xsl modification was not done: "
"File %s hasn\'t been copied from temporaty folder to %s","File %s hasn\'t been copied from temporaty folder to %s"
"Invalid xsl format or file %s has incorrect name","Invalid xsl format or file %s has incorrect name"
"Not Validated","Not Validated"
"Critical Errors","Critical Errors"
"Minor Errors","Minor Errors"
"Valid Data","Valid Data"
"Error","Error"
"Minor Error","Minor Error"
"%d minutes","%d minutes"
"1 hour","1 hour"
"%d hours","%d hours"
"1 day","1 day"
"File prefix:","File prefix:"
"Checkout fields with code ""%s"" is not configured in checkout fields maganer","Checkout fields with code ""%s"" is not configured in checkout fields maganer"
"Order does not have any entities with path %s","Order does not have any entities with path %s"
"""increment_id"" field does not exist in path %s. Credit Memo will not be created","""increment_id"" field does not exist in path %s. Credit Memo will not be created"
"Credit Memo with increment_id ""%s"" already exists for order %s. Credit Memo will not be created","Credit Memo with increment_id ""%s"" already exists for order %s. Credit Memo will not be created"
"""increment_id"" field does not exist in path %s. Invoice will not be created","""increment_id"" field does not exist in path %s. Invoice will not be created"
"Invoice with increment_id ""%s"" already exists for order %s. Invoice will not be created","Invoice with increment_id ""%s"" already exists for order %s. Invoice will not be created"
"Select All/Unselect All","Select All/Unselect All"
"Orders","Orders"
"Order Items","Order Items"
"Order Addresses","Order Addresses"
"Order Payments","Order Payments"
"Order Payment Transactions","Order Payment Transactions"
"Order Status History","Order Status History"
"Invoices","Invoices"
"Invoice Comments","Invoice Comments"
"Invoice Items","Invoice Items"
"Shipments","Shipments"
"Shipment Comments","Shipment Comments"
"Shipped Items","Shipped Items"
"Shipments Tracking Information","Shipments Tracking Information"
"Credit Memos","Credit Memos"
"Credit Memo Comments","Credit Memo Comments"
"Credit Memo Items","Credit Memo Items"
"Checkout fields","Checkout fields"
"File Information","File Information"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
"Email","Email"
